"data","n","p","method","seconds","lambda0","nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_5000_10_0.5_3_10_data.csv",5000,10,"Lasso",0.896228075027466,0.00232820644891633,5,0.8072802540454,0.850040257648953,0.177422891896067,0.155025993056988,0.175942392707071,2.7144202038163
"sim_5000_10_0.5_3_10_data.csv",5000,10,"Rounded Lasso",0.945559024810791,0.00232820644891633,4,0.799380587302953,0.853059581320451,0.179361664253269,0.154590774695342,0,4
"sim_5000_10_0.5_3_10_data.csv",5000,10,"NLLCD",0.415469169616699,0,5,0.805628545597775,0.858494363929147,0.177628885866468,0.152742907534485,1,10
"sim_5000_10_0.5_3_10_data.csv",5000,10,"NLLCD with CV (lambda_min)",158.210514068604,1.68115341229981e-05,5,0.805628545597775,0.858494363929147,0.177628885866468,0.152742907534485,1,10
"sim_5000_10_0.5_3_10_data.csv",5000,10,"NLLCD with CV (lambda_1se)",158.210514068604,0.0168115341229981,4,0.80189864362686,0.857286634460548,0.179132989475174,0.154155448782271,0,10
"sim_5000_10_0.5_3_2_data.csv",5000,10,"FasterRisk",18.2262139320374,NA,6,0.830287544735195,0.780448717948718,0.400699415759307,0.407933623943976,1,10
"sim_5000_10_0.5_3_2_data.csv",5000,10,"LR",0.0227248668670654,NA,10,0.830830740661738,0.785657051282051,0.166932821219889,0.182509852471057,0.172204484902917,2.55071722559432
"sim_5000_10_0.5_3_2_data.csv",5000,10,"Rounded LR",0.0413608551025391,NA,6,0.830695342030874,0.782451923076923,0.167067569916486,0.183653981768219,1,15
"sim_5000_10_0.5_3_2_data.csv",5000,10,"Lasso",1.19069600105286,0.00371249815871334,5,0.830852840024315,0.784254807692308,0.166996866683751,0.181553863454462,0.0195695424260555,2.17029139737576
"sim_5000_10_0.5_3_2_data.csv",5000,10,"Rounded Lasso",1.28763699531555,0.00371249815871334,3,0.816757530277728,0.793669871794872,0.169774556591689,0.180528183483974,0,3
"sim_5000_10_0.5_3_2_data.csv",5000,10,"NLLCD",7.02369284629822,0,5,0.830082485070119,0.784254807692308,0.167002579987635,0.181984998222968,0.5,10
"sim_5000_10_0.5_3_2_data.csv",5000,10,"NLLCD with CV (lambda_min)",125.025691986084,2.22558417548687e-05,5,0.830082485070119,0.784254807692308,0.167002579987635,0.181984998222968,0.5,10
"sim_5000_10_0.5_3_2_data.csv",5000,10,"NLLCD with CV (lambda_1se)",125.025691986084,0.0103302466572052,3,0.817987087566642,0.790064102564103,0.16950721492898,0.181119528165095,0,10
"sim_5000_10_0.5_3_3_data.csv",5000,10,"FasterRisk",15.377711057663,NA,5,0.846019847972973,0.800480769230769,0.478801868962085,0.429085992357415,0.5,6
"sim_5000_10_0.5_3_3_data.csv",5000,10,"LR",0.593894958496094,NA,10,0.847742059268172,0.8046875,0.15565928411142,0.183860277661014,0.309844479399274,3.67430554158781
"sim_5000_10_0.5_3_3_data.csv",5000,10,"Rounded LR",0.64952802658081,NA,5,0.846019847972973,0.800480769230769,0.155897607051272,0.185048463293809,1,12
"sim_5000_10_0.5_3_3_data.csv",5000,10,"Lasso",2.98144006729126,0.00165358008328451,5,0.847876075990374,0.805689102564103,0.15561036763642,0.183827547260062,0.0843402947430367,2.98382172565243
"sim_5000_10_0.5_3_3_data.csv",5000,10,"Rounded Lasso",3.14311289787292,0.00165358008328451,4,0.842903718144514,0.807892628205128,0.157135327533688,0.18448121411812,0,7
"sim_5000_10_0.5_3_3_data.csv",5000,10,"NLLCD",0.563787937164307,0,5,0.846695234403925,0.804086538461538,0.15579064260908,0.184861910368284,0.5,10
"sim_5000_10_0.5_3_3_data.csv",5000,10,"NLLCD with CV (lambda_min)",59.8725779056549,2.51329469513447e-05,5,0.846695234403925,0.804086538461538,0.15579064260908,0.184861910368284,0.5,10
"sim_5000_10_0.5_3_3_data.csv",5000,10,"NLLCD with CV (lambda_1se)",59.8725779056549,0.00794773566784345,3,0.836493090907689,0.787059294871795,0.158357163885255,0.192339842516866,0,10
"sim_5000_10_0.5_3_4_data.csv",5000,10,"FasterRisk",18.2176020145416,NA,6,0.829137239592007,0.824066558441559,0.340038630835313,0.304875487976603,1,10
"sim_5000_10_0.5_3_4_data.csv",5000,10,"LR",0.0212328433990479,NA,10,0.830567385812488,0.818181818181818,0.165874947095196,0.171422302766349,0.279876500597267,2.6312911683582
"sim_5000_10_0.5_3_4_data.csv",5000,10,"Rounded LR",0.0315108299255371,NA,6,0.829181035918432,0.821631493506494,0.166319765103358,0.170516628311927,1.5,10
"sim_5000_10_0.5_3_4_data.csv",5000,10,"Lasso",0.833707094192505,0.000920874734396555,5,0.830603735962756,0.818181818181818,0.16588423442617,0.171041130408094,0.0869184474039779,2.23746029799695
"sim_5000_10_0.5_3_4_data.csv",5000,10,"Rounded Lasso",0.848429918289185,0.000920874734396555,4,0.820778306358426,0.80762987012987,0.167316681320495,0.171642304868127,0,3
"sim_5000_10_0.5_3_4_data.csv",5000,10,"NLLCD",0.611423015594482,0,6,0.826838132620721,0.81737012987013,0.167846395825196,0.176669816224156,1,10
"sim_5000_10_0.5_3_4_data.csv",5000,10,"NLLCD with CV (lambda_min)",32.517245054245,0.00070475625879404,5,0.826608342023208,0.811891233766234,0.167904238048241,0.1775690258851,0.5,10
"sim_5000_10_0.5_3_4_data.csv",5000,10,"NLLCD with CV (lambda_1se)",32.517245054245,0.048014484973534,4,0.820459161647036,0.796063311688312,0.168833608851589,0.179715971135279,0,10
"sim_5000_10_0.5_3_5_data.csv",5000,10,"FasterRisk",4.24394297599792,NA,5,0.84643848303447,0.799715909090909,0.286377186000925,0.268076298274055,1.5,10
"sim_5000_10_0.5_3_5_data.csv",5000,10,"LR",0.0610840320587158,NA,10,0.849119498881295,0.809050324675325,0.153483299626516,0.175579791976392,0.52799725330665,3.36083579369113
"sim_5000_10_0.5_3_5_data.csv",5000,10,"Rounded LR",0.080345869064331,NA,5,0.84609079555287,0.794034090909091,0.153997344581737,0.178148572336775,1,7
"sim_5000_10_0.5_3_5_data.csv",5000,10,"Lasso",0.739161014556885,0.00171036610537997,5,0.848743525232143,0.808238636363636,0.153537971736264,0.175717046000428,0.299370372018658,2.87682646879642
"sim_5000_10_0.5_3_5_data.csv",5000,10,"Rounded Lasso",0.757085084915161,0.00171036610537997,5,0.845889346756202,0.79200487012987,0.154032197327534,0.17868033087319,0.5,4
"sim_5000_10_0.5_3_5_data.csv",5000,10,"NLLCD",0.515483856201172,0,5,0.846300658082095,0.797686688311688,0.154886057029323,0.176098366170151,1.5,10
"sim_5000_10_0.5_3_5_data.csv",5000,10,"NLLCD with CV (lambda_min)",121.997066020966,0.00259960439947406,5,0.846300658082095,0.797686688311688,0.154886057029323,0.176098366170151,1.5,10
"sim_5000_10_0.5_3_5_data.csv",5000,10,"NLLCD with CV (lambda_1se)",121.997066020966,0.0259960439947406,4,0.837071274250982,0.802962662337662,0.158379844895765,0.170119912844611,0,10
"sim_5000_10_0.5_3_6_data.csv",5000,10,"FasterRisk",9.48984980583191,NA,5,0.855493204006544,0.8494,0.359567213992983,0.363831134762,0.5,9
"sim_5000_10_0.5_3_6_data.csv",5000,10,"LR",1.12579298019409,NA,10,0.857109228776043,0.8518,0.150383754784316,0.147604006145426,0.312589206666242,3.28478633721389
"sim_5000_10_0.5_3_6_data.csv",5000,10,"Rounded LR",1.22408485412598,NA,5,0.854429909796421,0.851,0.150966077103665,0.148549365115705,1,11
"sim_5000_10_0.5_3_6_data.csv",5000,10,"Lasso",6.99793195724487,0.000770454393173929,5,0.857033056295944,0.8522,0.150390978903056,0.14773885942171,0.118203472332767,2.73764411265832
"sim_5000_10_0.5_3_6_data.csv",5000,10,"Rounded Lasso",7.21235394477844,0.000770454393173929,4,0.847693286067989,0.8468,0.152643978273143,0.150590349793721,0,4
"sim_5000_10_0.5_3_6_data.csv",5000,10,"NLLCD",0.565962791442871,0,5,0.855463279103648,0.8498,0.15088228462714,0.148308803172288,0.5,10
"sim_5000_10_0.5_3_6_data.csv",5000,10,"NLLCD with CV (lambda_min)",73.4004077911377,0.000270521309690202,5,0.855463279103648,0.8498,0.15088228462714,0.148308803172288,0.5,10
"sim_5000_10_0.5_3_6_data.csv",5000,10,"NLLCD with CV (lambda_1se)",73.4004077911377,0.0125564869031234,4,0.84929802898907,0.8402,0.152520583189172,0.151639007912966,0,10
"sim_5000_10_0.5_3_7_data.csv",5000,10,"FasterRisk",8.24732995033264,NA,5,0.777799445634173,0.718196457326892,0.334749128491814,0.334156735419589,0.5,10
"sim_5000_10_0.5_3_7_data.csv",5000,10,"LR",0.500405788421631,NA,10,0.779778648018738,0.723228663446054,0.185099560390173,0.202254633279385,0.343940364772642,3.99767613839201
"sim_5000_10_0.5_3_7_data.csv",5000,10,"Rounded LR",0.56849479675293,NA,5,0.778221447843493,0.727657004830918,0.185321280564126,0.201756103687758,1,12
"sim_5000_10_0.5_3_7_data.csv",5000,10,"Lasso",1.82774901390076,0.00258550284265054,5,0.779417000541349,0.718800322061191,0.185106404541256,0.201335188275024,0.182794728041095,3.03371557981955
"sim_5000_10_0.5_3_7_data.csv",5000,10,"Rounded Lasso",1.96482801437378,0.00258550284265054,5,0.775957303796225,0.72061191626409,0.185679240232123,0.203493269687647,0.5,5
